date,BIL-US,ETHA-US,EXI-US,EZU-US,GLD-US,IBIT-US,IEI-US,INDA-US,IXC-US,IXG-US,IXJ-US,IXN-US,JPXN-US,JXI-US,KXI-US,MCHI-US,MXI-US,RXI-US,SHY-US,SLV-US,SPY-US,TLT-US,UNG-US,USO-US,VIXY-US
2007-08-09,74.55709,26.24,45.77155,34.56932,65.46,26.63,72.92845,23.12183,22.807903,53.440784,20.959349,8.962898,45.322105,32.30616,18.942575,39.145004,45.0629,44.884262,61.448605,12.594001,103.96396,50.843426,5342.72,430.24,633840.06
2007-08-10,74.60586,26.24,45.41729,33.990513,66.57,26.63,72.827,23.12183,22.796871,52.85802,20.912207,8.9486265,44.756268,32.112343,18.75411,39.145004,44.237137,44.466022,61.425697,12.765,103.47773,50.72556,5568.0,429.12,633840.06
2007-08-13,74.62214,26.24,45.331978,34.192642,66.26,26.63,72.957436,23.12183,22.79318,52.677937,20.818007,8.967744,44.63215,32.18502,18.800402,39.145004,44.72865,44.607494,61.47919,12.714,103.84951,50.872902,5546.24,430.8,633840.06
2007-08-14,74.60586,26.24,44.71601,33.794514,66.29,26.63,73.84129,23.12183,22.476877,51.263134,20.54628,8.867318,44.33283,31.800554,18.50282,39.145004,43.896286,43.8079,61.563133,12.623,102.26207,51.008404,5671.68,433.84,633840.06
2007-08-15,74.62214,26.24,43.450798,32.955383,66.13,26.63,73.2762,23.12183,21.888376,50.379833,20.452082,8.609113,43.610073,31.057943,18.324274,39.145004,42.192398,42.762295,61.64726,12.385001,100.85344,50.82575,5580.8,441.04,633840.06
2007-08-16,74.719696,26.24,43.63155,32.508263,64.68,26.63,73.80511,23.12183,21.686083,51.453243,20.260096,8.5862875,43.883835,31.136948,18.334196,39.145004,41.366634,41.870453,61.76947,11.780001,101.61138,51.350216,5594.88,428.64,633840.06
2007-08-17,74.768456,26.24,44.00894,33.289207,65.01,26.63,73.57326,23.12183,22.414343,52.581985,20.50646,8.740358,43.555317,31.78476,18.618544,39.145004,42.25139,42.9545,61.822933,11.6640005,103.47773,51.143967,5652.48,432.24,633840.06
2007-08-20,74.8335,26.24,44.45573,33.24939,65.12,26.63,73.725365,23.12183,22.469515,52.47771,20.62961,8.786003,43.321697,31.81636,18.589449,39.145004,42.79534,42.8853,61.899334,11.729,103.42768,51.173447,4953.6,428.32,633840.06
2007-08-21,74.817276,26.24,44.441277,33.27389,65.07,26.63,73.93548,23.12183,22.230442,52.36729,20.615114,8.804553,43.79258,31.663622,18.773947,39.145004,42.959183,42.8853,61.983368,11.510001,103.63504,51.420868,4843.52,419.44,633840.06
2007-08-22,74.817276,26.24,45.504044,34.459076,65.4,26.63,73.703705,23.12183,22.594572,53.45918,20.796267,8.931511,44.132053,32.30616,18.750803,39.145004,44.636913,43.93091,61.899334,11.571,104.864975,51.338432,4646.4,418.8,633840.06
2007-08-23,74.768456,26.24,45.272697,34.094635,65.31,26.63,73.60946,23.12183,22.701258,53.698402,20.883224,8.95291,44.80738,32.295628,18.790483,39.145004,44.951485,43.800213,61.86114,11.623,104.77201,51.51521,4725.76,421.2,633840.06
2007-08-24,74.7522,26.24,46.14027,34.854137,66.11,26.63,73.55872,23.12183,23.22721,54.20755,21.14046,9.095559,44.989876,32.5853,19.028543,39.145004,45.87556,44.469097,61.74653,11.900001,106.0663,51.768616,4542.72,429.12,633840.06
2007-08-27,74.65458,26.24,45.87278,34.557064,65.98,26.63,73.68916,23.12183,22.991808,53.545048,21.042635,9.018528,44.610256,32.053356,19.018623,39.145004,45.108784,44.469097,61.830563,11.69199,105.07949,52.03964,4477.44,434.64,633840.06
2007-08-28,74.73591,26.24,44.70878,33.711826,65.59,26.63,74.11658,23.12183,22.381245,51.93784,20.651346,8.823095,43.97145,31.72155,18.797094,39.145004,44.04707,44.469097,61.99102,11.643001,102.7698,52.12808,4654.08,432.24,633840.06
2007-08-29,74.78474,26.24,45.613937,34.667316,66.07,26.63,73.86303,23.12183,23.026745,53.011364,20.90496,9.051339,44.570095,32.379894,19.018623,39.145004,45.58719,43.76946,61.914608,11.81501,104.7863,51.98668,4453.12,444.4,633840.06
2007-08-30,74.80082,26.24,45.359467,34.41313,65.8,26.63,74.13828,23.12183,23.118702,52.09739,20.90496,9.069886,44.20507,32.3641,18.96903,39.145004,45.17437,44.13081,61.96806,11.7,104.5074,52.322533,4524.8,444.0,633840.06
2007-08-31,74.78474,26.24,46.28486,34.99194,66.52,26.63,74.11658,23.12183,23.3964,53.342625,21.071623,9.206819,45.13224,32.73803,19.2104,39.145004,46.517822,45.00728,62.067387,11.998,105.5371,52.375546,4345.6,446.24,633840.06
2007-09-04,74.79668,26.24,46.689724,35.218563,67.44,26.63,74.064964,23.12183,23.834097,53.89469,21.231031,9.331394,44.935127,32.780224,19.230234,39.145004,46.937256,45.214863,61.964436,12.18676,106.602615,52.40026,4514.56,454.0,633840.06
2007-09-05,74.812996,26.24,45.648647,34.701,67.56,26.63,74.42855,23.12183,23.760527,52.84576,21.133207,9.219667,44.077312,32.406223,19.008713,39.145004,46.01317,44.569042,62.1255,12.150001,105.680176,52.820396,4643.84,458.08,633840.06
2007-09-06,74.812996,26.24,46.089657,34.835747,68.86,26.63,74.24677,23.12183,23.990412,52.60039,21.212915,9.282437,44.136436,32.453636,19.150219,39.145004,47.08796,44.822758,62.04883,12.3642,105.92329,52.68432,4464.64,461.04,633840.06
2007-09-07,74.86199,26.24,45.15702,34.446815,69.39,26.63,74.74128,23.12183,23.760508,51.919502,21.042635,9.082724,43.686733,32.206093,18.988865,39.145004,45.895264,43.88477,62.278866,12.442,104.45022,53.429813,4395.52,462.08,633840.06
2007-09-10,74.878296,26.24,45.113636,34.24776,69.62,26.63,74.901245,23.12183,23.639145,51.526936,20.991915,9.109827,43.63924,32.300953,18.975643,39.145004,45.567528,43.692574,62.186844,12.483001,104.25,53.844044,4736.0,470.32,633840.06
2007-09-11,74.79668,26.24,45.598053,34.774513,70.52,26.63,74.71216,23.12183,23.999601,52.36729,21.238281,9.20398,43.743595,32.634804,19.226933,39.145004,46.47848,44.123047,62.194523,12.64001,105.46562,53.80258,4733.44,471.68,633840.06
2007-09-12,74.910934,26.24,45.894455,34.854137,70.46,26.63,74.66129,23.12183,24.242363,52.3035,21.36146,9.18686,43.566265,32.81703,19.345959,39.145004,46.20454,44.153866,62.24819,12.5720005,105.737366,53.60144,5113.6,480.0,633840.06
2007-09-13,74.89463,26.24,46.183643,35.07463,70.08,26.63,74.34853,23.12183,24.479607,52.93777,21.40494,9.162612,43.398346,32.920525,19.448465,39.145004,46.694763,44.5921,62.156193,12.469001,106.481,53.122147,4851.2,481.36,633840.06
2007-09-14,74.9436,26.24,46.024597,34.912308,69.99,26.63,74.42131,23.12183,24.420742,52.52677,21.303495,9.152622,43.51882,32.996105,19.39225,39.145004,46.727535,44.484547,62.148506,12.4800005,106.473854,53.199097,5024.0,478.32,633840.06
2007-09-17,74.976265,26.24,45.603813,34.48357,70.97,26.63,74.40675,23.12183,24.321434,51.77841,21.11872,9.102697,43.19028,32.848637,19.246763,39.145004,46.183582,44.123127,62.14085,12.707,105.90183,53.453476,5178.88,485.36,633840.06
2007-09-18,74.927246,26.24,46.949997,35.95357,71.7,26.63,74.50126,23.12183,25.145338,53.85177,21.386864,9.287573,43.642918,33.733448,19.71959,39.145004,48.464222,45.31788,62.225155,12.867999,109.019516,53.051136,5112.32,496.4,633840.06
2007-09-19,74.959946,26.24,47.342724,36.143436,71.43,26.63,74.46495,23.12183,25.253845,54.61239,21.683918,9.350911,44.30363,33.84937,19.703056,39.145004,49.38832,45.65309,62.324932,12.867999,109.663086,52.560028,4934.4,494.56,633840.06
2007-09-20,74.910934,26.24,47.3621,36.259804,72.72,26.63,73.919586,23.12183,25.351305,54.189125,21.524502,9.345205,44.164917,33.691837,19.643543,39.145004,49.735645,45.207176,62.094875,13.32,108.890785,51.566017,5004.8,501.2,633840.06
2007-09-21,74.9436,26.24,47.77418,36.514,72.34,26.63,74.137665,23.12183,25.526022,54.292183,21.723768,9.3979845,44.25253,33.92305,19.73943,39.145004,50.43034,45.414753,62.179222,13.419001,109.18446,52.00385,4934.4,497.12,633840.06
2007-09-24,75.00891,26.24,47.672974,36.37006,72.28,26.63,74.2031,23.12183,25.459461,53.888557,21.589714,9.425092,44.343777,33.92305,19.703056,39.145004,50.974297,45.268673,62.24819,13.427001,108.98325,52.151764,5113.6,494.56,633840.06
2007-09-25,75.02518,26.24,47.72358,36.397617,72.33,26.63,74.298416,23.12183,25.206024,53.99285,21.600582,9.522093,44.55549,34.11792,19.699081,39.145004,51.0005,45.014957,62.30187,13.367,108.767746,51.96835,5049.6,488.56,633840.06
2007-09-26,74.9436,26.24,47.98386,36.584442,72.0,26.63,74.33403,23.12183,25.29246,54.42224,21.741848,9.537784,44.929646,34.476048,19.80886,39.145004,51.092262,45.284054,62.263573,13.330001,109.34249,52.015697,5027.84,493.6,633840.06
2007-09-27,74.959946,26.24,48.475468,36.893753,72.7,26.63,74.50126,23.12183,25.520504,55.188988,21.738262,9.584863,45.909756,34.433914,19.96261,39.145004,51.924576,45.69154,62.378616,13.425,109.98911,52.376648,4921.6,507.52,633840.06
2007-09-28,74.927246,26.24,48.36702,37.02543,73.51,26.63,74.46495,23.12183,25.386246,55.176727,21.662176,9.589143,45.979115,34.333855,19.984106,39.145004,52.06876,45.65318,62.309578,13.655001,109.62269,52.494953,4896.0,500.4,633840.06
2007-10-01,75.009315,26.24,49.01048,37.503185,73.9,26.63,74.50267,23.12183,25.641422,56.20113,21.915783,9.673308,46.3624,34.744656,20.083302,39.145004,53.30083,46.45267,62.36898,13.646001,110.8585,52.79474,5031.68,492.72,633840.06
2007-10-02,74.960815,26.24,49.111706,37.3133,72.35,26.63,74.612144,23.12183,25.353148,56.642773,21.908543,9.716104,46.632507,34.397057,19.984106,39.145004,52.756878,46.437305,62.36127,13.231,110.70759,52.961124,5278.72,493.04,633840.06
2007-10-03,74.977196,26.24,48.800816,37.102,71.9,26.63,74.531906,23.12183,24.90258,56.661194,21.904922,9.577728,46.51205,34.19165,19.884912,39.145004,52.022873,46.437305,62.353577,13.217,110.48487,52.806664,5146.88,490.32,633840.06
2007-10-04,75.05913,26.24,48.800816,37.288815,72.87,26.63,74.6049,23.12183,25.114069,57.133533,21.9339,9.61054,46.501102,34.42865,19.947735,39.145004,51.57068,46.40654,62.384388,13.285001,110.6573,53.00863,5253.12,500.88,633840.06
2007-10-05,74.977196,26.24,49.321342,37.57668,73.4,26.63,74.254616,23.12183,25.248325,57.906433,22.151287,9.714678,47.118008,34.765724,20.073376,39.145004,52.56027,47.013924,62.315044,13.295,111.97209,52.43837,5007.36,498.24,633840.06
2007-10-08,75.09188,26.24,48.93384,37.224495,72.53,26.63,74.42979,23.12183,25.033155,57.354347,21.948395,9.738928,46.69821,34.49185,19.96096,39.145004,52.258812,46.783268,62.376675,13.188001,111.37575,52.396797,4906.227,486.08,633840.06
2007-10-09,75.04273,26.24,49.393665,37.683865,73.09,26.63,74.152466,23.12183,25.483725,57.881897,22.100565,9.787433,46.770523,35.050133,20.076685,39.145004,52.907635,46.94473,62.238205,13.3949995,112.4247,52.3314,4878.08,491.2,633840.06
2007-10-10,75.10826,26.24,49.270752,37.604248,73.36,26.63,74.18896,23.12183,25.662107,57.49545,22.140417,9.810252,46.480663,34.792065,20.106476,39.145004,53.248405,47.12156,62.253563,13.486,112.23789,52.361153,5002.24,499.2,633840.06
2007-10-11,75.09516,26.24,49.429806,37.833935,73.91,26.63,74.22544,23.12183,25.75223,57.11514,21.952019,9.747488,46.54126,34.69725,20.11372,39.145004,53.307404,47.23689,62.26897,13.639999,111.699066,52.30769,4899.84,508.72,633840.06
2007-10-12,75.10826,26.24,49.306896,37.96869,74.59,26.63,74.12321,23.12183,26.107151,57.354347,22.082449,9.814533,46.650764,34.923668,20.232088,39.145004,53.903778,47.01468,62.199623,13.74,112.31701,52.052296,4980.48,512.0,633840.06
2007-10-15,75.07547,26.24,48.836964,37.634857,75.14,26.63,74.06483,23.12183,26.342554,56.39129,21.861444,9.730369,45.818504,34.660385,20.122974,39.145004,53.490902,46.275837,62.199623,13.69,111.36858,52.064133,5313.28,527.12,633840.06
2007-10-16,75.12464,26.24,48.446556,37.392933,75.12,26.63,74.23273,23.12183,26.474968,55.201263,21.6975,9.61054,44.982582,34.792065,20.023779,39.145004,52.612705,45.954857,62.27661,13.499001,110.48487,52.081966,5250.56,535.84,633840.06
